Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
71SOLZABST;2,00;20,75;25,52;FS 3637/02/2026;2952;ZABŁOCKA Sól termalna jodowo-bromowa 1kg;szt;23,00;41,50;51,05
34ANGROZHE;1,00;7,35;7,94;FS 3637/02/2026;7826;Herb. Rozmarynowa BIO 80g DARY NATURY;szt;8,00;7,35;7,94
21PRNMLOIA;2,00;7,34;7,93;FS 3637/02/2026;1543;MyVita Młody jęczmień proszek 100g;szt;8,00;14,68;15,85
71NATKRAMC;1,00;15,76;19,38;FS 3637/02/2026;2851;KRAUTERHOF Ma¶ć końska chłodz±ca 500ml;szt;23,00;15,76;19,38
11SMASOLKG;1,00;4,49;5,52;FS 3637/02/2026;959;SMAKOSZ Sól kłodawska gruboziarnista 1kg;szt;23,00;4,49;5,52
11CELBATTR;1,00;2,39;2,51;FS 3637/02/2026;7894;Baton FRUPP truskawka 10G CELIKO;szt;5,00;2,39;2,51
11CELBUDWA;1,00;0,85;0,89;FS 3637/02/2026;7909;Budyń waniliowy b/g b/c 40g CELIKO;szt;5,00;0,85;0,89
11VISBRU;1,00;5,05;5,45;FS 3637/02/2026;1056;Bruschetta 35g VISANA;szt;8,00;5,05;5,45
11BIPBIPPK;1,00;6,44;6,76;FS 3637/02/2026;407;BIO PLANET Płatki orkiszowe BIO 600g;szt;5,00;6,44;6,76
71ROSBISKO;7,00;28,31;34,82;FS 3637/02/2026;5411;BISZOFIT POŁTAWSKI Koncentrat do k±pieli 1000ml;szt;23,00;198,17;243,75
11CELBATKJM;1,00;2,39;2,51;FS 3637/02/2026;7899;Baton FRUPP Kids jabłko - marakuja 9g CELIKO;szt;5,00;2,39;2,51
11SIMMAKKT;3,00;7,78;8,17;FS 3637/02/2026;905;PIĘĆ PRZEMIAN M±ka kokosowa BIO 500g;szt.;5,00;23,34;24,51
34NATZIOOW;1,00;11,47;12,04;FS 3637/02/2026;2359;NATURA-WITA Owies ziele mielone 250g;szt;5,00;11,47;12,04
11SIMERY02;1,00;17,69;21,76;FS 3637/02/2026;3128;PIĘĆ PRZEMIAN Erytrytol 1000g;szt;23,00;17,69;21,76
11BILMAKPSC;1,00;6,64;6,97;FS 3637/02/2026;7560;M±ka pszenna chlebowa 850 BIO 1kg BIOLIFE;szt;5,00;6,64;6,97
11SIMPLADR1;1,00;9,59;11,80;FS 3637/02/2026;6000;PIĘĆ PRZEMIAN Płatki drożdżowe nieaktywne b/g 150g;szt.;23,00;9,59;11,80
11BIPBIPPA;2,00;13,21;16,25;FS 3637/02/2026;399;BIO PLANET Płatki drożdżowe nieaktywne BIO 100g;szt;23,00;26,42;32,50
34NATZIOPI;1,00;8,15;8,56;FS 3637/02/2026;2360;NATURA-WITA Pigwa owoc 100g;szt;5,00;8,15;8,56
11CELPROPI;1,00;1,22;1,50;FS 3637/02/2026;7919;Proszek do pieczenia b/g 30g CELIKO;szt;23,00;1,22;1,50
11BIFOLEKB2;1,00;10,81;11,35;FS 3637/02/2026;7430;BIO FOOD Olej kokosowy bezwonny BIO 260ml;szt;5,00;10,81;11,35
11AVESOLZO;2,00;4,81;5,92;FS 3637/02/2026;213;AVENA Sól ziołowa 170g;szt;23,00;9,62;11,83
31ANGMALL2;1,00;5,95;6,25;FS 3637/02/2026;1868;Malina li¶ć BIO 25g DARY NATURY;szt;5,00;5,95;6,25
11STETAGTB;2,00;10,23;11,05;FS 3637/02/2026;3266;Tagatesse - 650 tabletek DAMHERT;szt;8,00;20,46;22,10
11CELCIABR;1,00;4,74;4,98;FS 3637/02/2026;7920;Ciasto Brownie bezglutenowe 300g CELIKO;szt;5,00;4,74;4,98
21PLASLU08;2,00;12,91;13,94;FS 3637/02/2026;1496;¦luzvit pastylki SŁOIK 80g + 25% gratis PLANTA-LEK;szt;8,00;25,82;27,89
31DRYZAPTRE;5,00;7,03;7,59;FS 3637/02/2026;7269;Zaprawka do alkoholu Trojanka litewska BIO 20g DN;szt;8,00;35,15;37,96
11SIDGUMMI;1,00;3,75;4,05;FS 3637/02/2026;4585;CHEWSY Gumy do żucia mięta z ksylitolem 15g;szt;8,00;3,75;4,05
31ANGSTOKW;1,00;7,46;7,83;FS 3637/02/2026;1906;Stokrotka kwiat BIO 25g DARY NATURY;szt;5,00;7,46;7,83
11BILMAKPSJ;1,00;6,64;6,97;FS 3637/02/2026;7559;M±ka pszenna jasna 550 BIO 1kg BIOLIFE;szt;5,00;6,64;6,97
11VISBURAC;2,00;4,25;4,46;FS 3637/02/2026;3964;Buraczki suszone 100g VISANA;szt;5,00;8,50;8,93
11BARMPLAJG;2,00;6,24;6,55;FS 3637/02/2026;7776;BARTOLINI Makaron z płask. jasny gniazda BIO 250g;szt;5,00;12,48;13,10
11ROYEKSWA;1,00;31,02;33,50;FS 3637/02/2026;7158;Ekstrakt z Waleriany BIO 50ml ROYAL BRAND;szt;8,00;31,02;33,50
21NAMMAGOL2;2,00;23,74;29,20;FS 3637/02/2026;7180;Magnezowy olej 250ml NAMI;szt;23,00;47,48;58,40
11DROPRZDP;6,00;5,00;5,40;FS 3637/02/2026;569;Przypr. do potraw uniwer. VEGETARIANA 250g DROBDAR;szt;8,00;30,00;32,40
11BARMORK3S;1,00;5,02;5,27;FS 3637/02/2026;7781;BARTOLINI Makaron orkiszowy 3-smakowy BIO 250g;szt;5,00;5,02;5,27
11BIFSYRMA;5,00;9,83;10,62;FS 3637/02/2026;7434;BIO FOOD Syrop malinowy BIO 250ml;szt;8,00;49,15;53,08
71SOLZABMG;1,00;13,65;16,79;FS 3637/02/2026;2950;ZABŁOCKA Mgiełka solankowa jodowo-bromowa 950ml;szt;23,00;13,65;16,79
11MIXVZELJA;2,00;5,12;5,38;FS 3637/02/2026;7370;VERI BERI Żelki jagodowe b/c b/g 50g;szt;5,00;10,24;10,75
11BATBATBRK;20,00;3,52;3,70;FS 3637/02/2026;5986;BATON WARSZAWSKI Brownie KETO 50g;szt;5,00;70,40;73,92
21ASTOLEZY;1,00;10,10;12,42;FS 3637/02/2026;3313;ASTRON Olej żywokostowy z gojnikiem 100ml;szt;23,00;10,10;12,42
21MERCHL60;1,00;69,21;85,13;FS 3637/02/2026;1259;Chlorella algi prasowane 1200tabl. MERIDIAN;szt;23,00;69,21;85,13
11UNISUPS5;1,00;10,94;11,82;FS 3637/02/2026;6586;SUPERSÓL Minerały do solenia 500g UNIPHAR;szt;8,00;10,94;11,82
11PROMAKGR;1,00;7,24;7,60;FS 3637/02/2026;848;PRO NATURA Makaron gryczany BIO nitki 400g;szt;5,00;7,24;7,60
11SMAHIBKW;4,00;4,53;4,76;FS 3637/02/2026;941;SMAKOSZ Hibiskus kwiat 100g;szt;5,00;18,12;19,03
71NATKRAMS;1,00;24,16;29,72;FS 3637/02/2026;2854;KRAUTERHOF Ma¶ć końska silnie rozgrzew. 500ml;szt;23,00;24,16;29,72
32ANGBEZCK1;2,00;10,07;10,57;FS 3637/02/2026;4796;Bez czarny kwiat fix BIO 25*2g DARY NATURY;szt;5,00;20,14;21,15
31ANGDZIEW;1,00;8,33;8,75;FS 3637/02/2026;4865;Dziewanna kwiat BIO 25g DARY NATURY;szt;5,00;8,33;8,75
11BIPBIPWIO2;1,00;7,43;7,80;FS 3637/02/2026;464;BIO PLANET Wiórki kokosowe bezgl. BIO 200g;szt;5,00;7,43;7,80
11SIMLUSBJ;1,00;7,96;8,36;FS 3637/02/2026;6364;PIĘĆ PRZEMIAN Łuska babki jajowatej 150g;szt;5,00;7,96;8,36
11VISPRZLU;2,00;7,34;7,93;FS 3637/02/2026;1064;Przyprawa lubczykowa do rosołu 65g VISANA;szt;8,00;14,68;15,85
