NazwaDokumentu;ProduktID;Kod;ProduktNazwa;Ilosc;Jednostka;Cena;Wartosc;VAT;CenaBrutto;WartoscBrutto
FS 16455/W/2026;26854;5902367404888;PALUSZKI GRISSINI Z POMI. I BAZYLIĄ 125g-VITALIAN;6.00;szt;2,98;17,88;5,00;3,13;18,77
FS 16455/W/2026;6077;5998858706562;PALUSZKI LEKKO SOLONE BEZGLUTENOWE BIO 45 g - BIOP;6.00;szt;3,27;19,62;5,00;3,43;20,60
FS 16455/W/2026;15002;5902650274624;PAPRYKA DŁUGA ŚWIEŻA BIO (około 0,60 kg);1.00;szt;16,39;16,39;5,00;17,21;17,21
FS 16455/W/2026;22994;5902650275676;PESTKI DYNI JASNE BIO 1 kg - BIO PLANET;1.00;szt;26,25;26,25;5,00;27,56;27,56
FS 16455/W/2026;4715;8009004850224;PESTO Z CUKINII BIO 130 g - ALCE NERO;3.00;szt;8,20;24,60;8,00;8,86;26,57
FS 16455/W/2026;46398;5908231224033;PIEROGI Z KURCZAKIEM BEZGLUTENOWE 280 g - BEZGLUT;1.00;szt;20,49;20,49;5,00;21,51;21,51
FS 16455/W/2026;44578;5907745970078;PIEROGI Z MIĘSEM BEZGLUTENOWE 280 g - BEZGLUTENOV;1.00;szt;20,23;20,23;5,00;21,24;21,24
FS 16455/W/2026;9711;4019555705496;PŁYN DO MYCIA OWOCÓW I WARZYW ECO 500 ml - ALMAWIN;2.00;szt;10,58;21,16;23,00;13,01;26,03
FS 16455/W/2026;47248;5902983784906;POMIDORY KOKTAJLOWE MIX ŚWIEŻE BIO (około 0,25 kg);2.00;szt;7,84;15,68;5,00;8,23;16,46
FS 16455/W/2026;6038;253721;POMIDORY NA GAŁĄZCE ŚWIEŻE BIO (około 0,45 kg);1.036;kg;16,29;16,88;5,00;17,10;17,72
FS 16455/W/2026;22400;5903900368070;POMIDORY SUSZONE W OLEJU BIO 280 g - BIO PLANET;2.00;szt;11,63;23,26;5,00;12,21;24,42
FS 16455/W/2026;2785;5907814664907;POPCORN (ZIARNO KUKURYDZY) BIO 400 g - BIO PLANET;3.00;szt;5,03;15,09;5,00;5,28;15,84
FS 16455/W/2026;13670;5904730218894;POPCORN Z NIEBIESKIEJ KUKURYDZY Z SHEA I SOLĄ DO P;4.00;szt;4,51;18,04;5,00;4,74;18,94
FS 16455/W/2026;2150;5902448163727;SAŁATA LODOWA ŚWIEŻA BIO (około 0,30 kg);1.00;szt;10,21;10,21;5,00;10,72;10,72
FS 16455/W/2026;1933;4850001113591;SOK Z ROKITNIKA NFC BIO 250 ml - YAN;3.00;szt;6,84;20,52;5,00;7,18;21,55
FS 16455/W/2026;2757;5907814662705;ŚLIWKI KALIFORNIJSKIE GF BIO 400 g- BIO PLANET;1.00;szt;22,05;22,05;5,00;23,15;23,15
FS 16455/W/2026;11783;5904730012669;TALARKI JAGLANO-KUKURYDZIANE BIO 55 g - BIOMINKI;6.00;szt;3,23;19,38;5,00;3,39;20,35
FS 16455/W/2026;5598;8002885007558;WAFLE Z SORGO I AMARANTUSA BEZGLUTENOWE BIO 120 g;3.00;szt;5,95;17,85;5,00;6,25;18,74
FS 16455/W/2026;3253;5907814668141;WŁOSZCZYZNA ŚWIEŻA BIO (POLSKA) (około 0,60 kg);1.00;szt;7,82;7,82;5,00;8,21;8,21
FS 16455/W/2026;25564;5907784827227;WODA JAVA ALKALICZNA NIEGAZOWANA 860 ml - WODY KA;6.00;szt;5,02;30,12;23,00;6,17;37,05
FS 16455/W/2026;19844;5900238562866;WODA ŹRÓDLANA NIEGAZOWANA 700 ml (SZKŁO) - BABY ZD;30.00;szt;5,06;151,80;23,00;6,22;186,71
FS 16455/W/2026;19844;5900238562866;WODA ŹRÓDLANA NIEGAZOWANA 700 ml (SZKŁO) - BABY ZD;6.00;szt;5,06;30,36;23,00;6,22;37,34
FS 16455/W/2026;30708;5902537543324;ZAKWAS Z BURAKÓW KISZONYCH NIEPASTERYZOWANY BEZGL;2.00;szt;11,31;22,62;5,00;11,88;23,75
