
Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktEAN;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
09841;26,54;27,87;ZS-26/02/4547;3428;5904722221123;Kimchi Classic spicy 900 g;6.000000;szt.;5,00;159,24;167,20
09843;26,54;27,87;ZS-26/02/4547;3430;5904722221130;Kimchi Classic Mild 900 g;2.000000;szt.;5,00;53,08;55,73
09844;12,32;12,94;ZS-26/02/4547;3431;5904722221017;Kimchi Classic Mild 300 g;1.000000;szt.;5,00;12,32;12,94
09905;6,97;7,32;ZS-26/02/4547;3606;5908249976856;Kasza jęczmienna BIO 1 kg;4.000000;szt.;5,00;27,88;29,27
09907;8,68;9,11;ZS-26/02/4547;3607;5908249976863;Kasza gryczana niepalona BIO 1 kg;1.000000;szt.;5,00;8,68;9,11
09908;22,43;23,55;ZS-26/02/4547;3608;5908249976924;Morele suszone BIO 500 g;2.000000;szt.;5,00;44,86;47,10
10032;5,93;6,23;ZS-26/02/4547;3681;5908249977440;Jaja przepiórcze 18 szt.;8.000000;szt.;5,00;47,44;49,81
10193;4,34;4,56;ZS-26/02/4547;3897;8007290133601;Makaron ditalini rigati BIO 500 g;2.000000;szt.;5,00;8,68;9,11
10195;4,34;4,56;ZS-26/02/4547;3899;8007290134066;Makaron mezze penne rigate BIO 500 g;4.000000;szt.;5,00;17,36;18,23
10197;4,34;4,56;ZS-26/02/4547;3901;8007290133236;Makaron elicoidali BIO 500 g;1.000000;szt.;5,00;4,34;4,56
10269;4,01;4,33;ZS-26/02/4547;3986;5908249977495;Tofu naturalne BIO 180 g;11.000000;szt.;8,00;44,11;47,64
10270;4,50;4,86;ZS-26/02/4547;3988;5908249977501;Tofu wędzone BIO 180 g;3.000000;szt.;8,00;13,50;14,58
10271;4,01;4,33;ZS-26/02/4547;3989;5908249977211;Tofu naturalne BIO 180 g;2.000000;szt.;8,00;8,02;8,66
10272;4,50;4,86;ZS-26/02/4547;3990;5908249977532;Tofu wędzone BIO 180 g;2.000000;szt.;8,00;9,00;9,72
10338;9,73;10,22;ZS-26/02/4547;4061;5906395147632;Makaron gryczany SOBA BEZGL. BIO 250 g;3.000000;szt.;5,00;29,19;30,65
10543;5,85;6,32;ZS-26/02/4547;4294;5907637903498;Wegańskie salami 100 g;2.000000;szt.;8,00;11,70;12,64
10548;13,84;14,53;ZS-26/02/4547;4299;5901549275001;Keto granola z porzeczką BIO 200 g;1.000000;szt.;5,00;13,84;14,53
10551;12,79;13,43;ZS-26/02/4547;4302;5906660508014;Keto granola BIO 200 g;1.000000;szt.;5,00;12,79;13,43
10572;10,47;10,99;ZS-26/02/4547;4326;5908228980188;Kapusta kiszona BIO 900 ml;4.000000;szt.;5,00;41,88;43,97
10591;4,06;4,26;ZS-26/02/4547;4346;8594068262835;Przekąski z mango 100% owoców  BEZGL. 35 g;1.000000;szt.;5,00;4,06;4,26
10694;24,29;25,50;ZS-26/02/4547;4480;5907222188040;Czarny czosnek pasta BIO 100g;1.000000;szt.;5,00;24,29;25,50
10698;4,99;5,24;ZS-26/02/4547;4484;5201704002702;Roślinna alternatywa sera żółtego- plastry 140 g;2.000000;szt.;5,00;9,98;10,48
