Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
71FLOZELAO;1,00;9,79;12,04;ZK 4716/02/2026;2780;Żel arnikowy pod oczy 15ml FLOSLEK;szt;23,00;9,79;12,04
11STETAGTB;18,00;10,23;11,05;ZK 4716/02/2026;3266;Tagatesse - 650 tabletek DAMHERT;szt;8,00;184,14;198,87
31DARPIECM;1,00;6,17;6,66;ZK 4716/02/2026;1969;Pieprz czarny mielony 50g DARY NATURY;szt;8,00;6,17;6,66
11VISSUSPO;1,00;4,36;4,58;ZK 4716/02/2026;1072;Suszone pomidory 25g VISANA;szt;5,00;4,36;4,58
11ROYEKSPI;1,00;31,02;33,50;ZK 4716/02/2026;7157;Ekstrakt z Piołunu BIO 50ml ROYAL BRAND;szt;8,00;31,02;33,50
21EKOOREGA;1,00;26,05;28,13;ZK 4716/02/2026;8106;Oregavit - olejek z oregano 50ml EKOTOTU;szt;8,00;26,05;28,13
21SUPKOLPL;1,00;16,45;17,77;ZK 4716/02/2026;7060;Kolagen rybi + proszek 100g SUPLIIV;szt;8,00;16,45;17,77
21PLAHIATA;2,00;12,17;13,14;ZK 4716/02/2026;1484;Hialvox 50tabl. PLANTA-LEK;szt;8,00;24,34;26,29
11MIXVZELJA;1,00;5,12;5,38;ZK 4716/02/2026;7370;VERI BERI Żelki jagodowe b/c b/g 50g;szt;5,00;5,12;5,38
31DARZPRKZ4;1,00;3,46;3,74;ZK 4716/02/2026;5988;Przyprawa kurczak złoty 60g DARY NATURY;szt.;8,00;3,46;3,74
