Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
31DARPIEKR;1,00;6,92;7,47;ZK 4052/02/2026;1972;Pieprz kolorowy 30g DARY NATURY;szt;8,00;6,92;7,47
11BILMAKZYR;2,00;5,49;5,76;ZK 4052/02/2026;7557;M±ka żytnia razowa 2000 BIO 1kg BIOLIFE;szt;5,00;10,98;11,53
11SMAAABWA;2,00;4,71;4,95;ZK 4052/02/2026;930;BIO OAZA Kostka rosołowa warzywna BIO 66g;szt;5,00;9,42;9,89
21SUPSENLI;1,00;5,70;6,16;ZK 4052/02/2026;6783;SENLIIV - zdrowy sen 60 kaps.;szt;8,00;5,70;6,16
11ANFNASPO;3,00;6,60;6,93;ZK 4052/02/2026;4360;Nasiona pokrzywy BIO 50g DARY NATURY;szt;5,00;19,80;20,79
21STALIZCO;2,00;0,80;0,86;ZK 4052/02/2026;7659;Lizik COLOSZOK lizak cola 1 szt. STARPHARMA;szt;8,00;1,60;1,73
11BATLAKCI;1,00;5,19;5,45;ZK 4052/02/2026;4249;ŁAKOĆ WARSZAWSKI - Ciastka owsiane z cze. i wanil;szt;5,00;5,19;5,45
31FLOHERPU;2,00;5,97;7,34;ZK 4052/02/2026;2053;Herbata PU-ERH czerwona 100g FLOS;szt;23,00;11,94;14,69
11BILMAKZYC;3,00;5,49;5,76;ZK 4052/02/2026;7556;M±ka żytnia chlebowa 720 BIO 1kg BIOLIFE;szt;5,00;16,47;17,29
11BATWARKR;1,00;10,12;10,63;ZK 4052/02/2026;5402;WARSZAWSKI Krem migdałowy z wanili± 190g;szt;5,00;10,12;10,63
11BILMAKZYS;5,00;5,49;5,76;ZK 4052/02/2026;7558;M±ka żytnia sitkowa 1400 BIO 1kg BIOLIFE;szt;5,00;27,45;28,82
31ANGRUMKO1;1,00;16,76;17,60;ZK 4052/02/2026;7285;Rumianek koszyczek BIO 100g DARY NATURY;szt.;5,00;16,76;17,60
71ETJOLTPO;1,00;5,65;6,95;ZK 4052/02/2026;3775;ETJA Olejek eteryczny nat. - Pomarańczowy 10ml;szt;23,00;5,65;6,95
21STALIZBU;2,00;0,80;0,86;ZK 4052/02/2026;7660;Lizik BUBUGUM lizak guma bal. 1 szt. STARPHARMA;szt;8,00;1,60;1,73
21PRANANMI;1,00;28,44;34,98;ZK 4052/02/2026;1502;Mikro-MiedĽ koloidalna Cu250 25ppm 300ml PRO AKTIV;szt;23,00;28,44;34,98
11BARMORK3S;1,00;5,02;5,27;ZK 4052/02/2026;7781;BARTOLINI Makaron orkiszowy 3-smakowy BIO 250g;szt;5,00;5,02;5,27
21CARWITAD;2,00;99,75;107,73;ZK 4052/02/2026;6957;CARSKA Witaminy ADEK Forte 50ml;szt;8,00;199,50;215,46
11BIPAMYCW;2,00;2,65;2,86;ZK 4052/02/2026;274;AMYLON Cukier waniliowy BIO 20g;szt;8,00;5,30;5,72
11VISCZUZI;10,00;4,47;4,83;ZK 4052/02/2026;1058;Czubrica zielona 60g VISANA;szt;8,00;44,70;48,28
21STALIZAR;8,00;0,80;0,86;ZK 4052/02/2026;7658;Lizik ARBUSIO lizak arbuzowy 1 szt. STARPHARMA;szt;8,00;6,40;6,91
11BIPBIPMZ;1,00;18,99;19,94;ZK 4052/02/2026;370;BIO PLANET Morwa biała owoc BIO 250g;szt;5,00;18,99;19,94
11SMASOLKG;2,00;4,49;5,52;ZK 4052/02/2026;959;SMAKOSZ Sól kłodawska gruboziarnista 1kg;szt;23,00;8,98;11,05
11BIPAMYPR;4,00;0,92;1,13;ZK 4052/02/2026;275;AMYLON Proszek do pieczenia BIO 12g bezglutenowy;szt;23,00;3,68;4,53
