Kod;Ilosc;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Jednostka;VAT;Wartosc;WartoscBrutto
21MIRNALBO;1,00;19,14;20,67;ZK 4169/02/2026;7538;Nalewka boczniak z kolendr± 50ml MIR-LEK;szt;8,00;19,14;20,67
11SZASHORO;8,00;6,26;6,57;ZK 4169/02/2026;6070;SZARŁAT Shot rokitnikowy 60ml;szt;5,00;50,08;52,58
21CARWITAD;1,00;96,90;104,65;ZK 4169/02/2026;6957;CARSKA Witaminy ADEK Forte 50ml;szt;8,00;96,90;104,65
21CARWITDK;1,00;100,72;108,78;ZK 4169/02/2026;6958;CARSKA Witaminy D3 + K2 Forte 50ml;szt;8,00;100,72;108,78
11EKOKULKW;1,00;4,58;5,63;ZK 4169/02/2026;5300;Kulki - Kakao & Wi¶nia 58g DK KUBARA;szt;23,00;4,58;5,63
21MIRLUDBO;1,00;8,48;9,16;ZK 4169/02/2026;5437;LUD. REC. ból głowy 20 sasz.;szt;8,00;8,48;9,16
21SKAWITC11;1,00;9,87;10,66;ZK 4169/02/2026;6560;Witamina C z kapusty 100g SKARBY GAI NATURAL;szt;8,00;9,87;10,66
71ZIAPASSC;1,00;5,85;7,20;ZK 4169/02/2026;3103;Pasta szałwiowa bez fluoru MintPerfekt 75ml ZIAJA;szt;23,00;5,85;7,20
31DARANYGWB;1,00;10,92;11,79;ZK 4169/02/2026;7677;Anyż gwiazdkowy BIO 30g DARY NATURY;szt.;8,00;10,92;11,79
21ASTPODAG;2,00;5,97;6,27;ZK 4169/02/2026;5005;ASTRON Podagrycznik pospolity 100g;szt;5,00;11,94;12,54
11STETAGTB;2,00;10,23;11,05;ZK 4169/02/2026;3266;Tagatesse - 650 tabletek DAMHERT;szt;8,00;20,46;22,10
11BIPBIPSG2;1,00;8,58;9,01;ZK 4169/02/2026;6909;BIO PLANET Słonecznik bezgl. BIO 800g;szt;5,00;8,58;9,01
11SIMMUSMA;1,00;13,35;14,02;ZK 4169/02/2026;4066;PIĘĆ PRZEMIAN Musli ows. malina z morw± b/g;szt;5,00;13,35;14,02
34NATZIOMEL1;1,00;4,43;4,65;ZK 4169/02/2026;4475;NATURA-WITA Melisa ziele 25g;szt;5,00;4,43;4,65
31ANGPRZZZ;1,00;10,16;10,67;ZK 4169/02/2026;1894;Przytulia wła¶ciwa ziele BIO 50g DARY NATURY;szt;5,00;10,16;10,67
31DARCYNCF;1,00;9,41;10,16;ZK 4169/02/2026;4470;Cynamon Cejloński mielony BIO 50g DARY NATURY;szt.;8,00;9,41;10,16
21ASEWITADEK;1,00;46,52;50,24;ZK 4169/02/2026;6850;ASEPTA Witamina ADEK Forte - 30ml;szt;8,00;46,52;50,24
21MIRLUDMJ;1,00;8,78;9,48;ZK 4169/02/2026;4722;LUD. REC. mikroflora jelit i wspracie prebiotyczne;szt;8,00;8,78;9,48
31ANGRUMKO;1,00;6,92;7,27;ZK 4169/02/2026;1899;Rumianek koszyczek BIO 25g DARY NATURY;szt.;5,00;6,92;7,27
11UNISUPS5;1,00;10,94;11,82;ZK 4169/02/2026;6586;SUPERSÓL Minerały do solenia 500g UNIPHAR;szt;8,00;10,94;11,82
11BIPBIPMF;3,00;7,01;7,36;ZK 4169/02/2026;352;BIO PLANET M±ka pszenna tortowa typ 480 BIO 1kg;szt;5,00;21,03;22,08
71SYZPLYMNAT;1,00;7,91;9,73;ZK 4169/02/2026;7010;ZIELKO Płyn do mycia naczyń Trawa Cytrynowa 500ml;szt;23,00;7,91;9,73
